user_name,twitter_id,party_name,state,office_title,account_type,first_name,middle_name,last_name,suffix,status,collecting,showing,bioguide_id,gender,fec_candidate_id,district,branch
RitchieTorres,1247612029,Democrat,NY,House Candidate,campaign,Ritchie,"",Torres,"",1,true,true,,M,H0NY15160,15,H
RanaForCongress,1381782598389743617,Democrat,NY,House Candidate,campaign,Rana,"",Abdelhamid,"",1,true,true,,F,H2NY12197,12,H
JesseCerrotti,3087121131,Democrat,NY,House Candidate,campaign,Jesse,"",Cerrotti,"",1,true,true,,"",H2NY12189,12,H
Britt4Congress,1360351357815951360,Democrat,NY,House Candidate,campaign,Brittany,"",DeBarros,"",1,true,true,,F,H2NY11124,11,H
najimbenine,2970892229,Democrat,NY,House Candidate,campaign,Benine,"",Hamdan,"",1,true,true,,"",H2NY10134,10,H
ashmi4congress,754024605992488960,Democrat,NY,House Candidate,campaign,Ashmi,"",Sheth,"",1,true,true,,"",H2NY10126,10,H
Surdi4NY,1349018976295280641,Republican,NY,House Candidate,campaign,Kevin,"",Surdi,"",1,true,true,,M,H2NY03139,03,H
TreasonHappens,100838706,Democrat,NY,House Candidate,campaign,Mike,"",Sax,"",1,true,true,,M,H2NY02123,02,H
MuzibulDr,1346194411915505666,Democrat,NY,House Candidate,campaign,Mizib,"",Huq,"",1,true,true,,"",H2NY02115,02,H
bridgetmfleming,48500146,Democrat,NY,House Candidate,campaign,Bridget,"",Fleming,"",1,true,true,,F,H0NY01202,01,H
JohnAForNY,1386448885497860106,Democrat,NY,House Candidate,campaign,John,"",Atkinson,"",1,true,true,,M,H2NY01109,01,H
aconnellsmith,4419811582,Democrat,NY,House Candidate,campaign,Austin,"",Smith,"",1,true,true,,M,H2NY01091,01,H
RPforCongress,1389633038296911872,Republican,NV,House Candidate,campaign,Reinier,"",Prijten,"",1,true,true,,M,H2NV03179,03,H
VoteAprilBecker,4776663858,Republican,NV,House Candidate,campaign,April,"",Becker,"",1,true,true,,F,H2NV03161,03,H
lund2022,1350911550366707715,Democrat,NM,House Candidate,campaign,Sheridan,"",Lund,"",1,true,true,,"",H2NM01185,01,H
HBrotschol,1355080686726688770,Republican,NJ,House Candidate,campaign,Hillery,"",Brotschol,"",1,true,true,,F,H2NJ11137,11,H
WePickNick,2870865249,Republican,NJ,House Candidate,campaign,Nick,"",D'Agostino,"",1,true,true,,M,H2NJ05303,05,H
talexander_NJ02,1368693584397033484,Democrat,NJ,House Candidate,campaign,Tim,"",Alexander,"",1,true,true,,M,H2NJ02193,02,H
acciard2022,1338555636318134277,Republican,NH,House Candidate,campaign,Julian,"",Acciard,"",1,true,true,,M,H2NH01254,01,H
KimreyforNC,1367952355115819011,Other,NC,Senate Candidate,campaign,Kimrey,"",Rhinehardt,"",1,true,true,,F,S2NC00422,00,S
BLRforSenate,1372004480733081601,Other,NC,Senate Candidate,campaign,Brenda,"",Rodriguez,"",1,true,true,,F,S2NC00455,00,S
EricaforUS,2448551130,Democrat,NC,House Representative,campaign,Erica,"",Smith,"",1,true,true,,F,H2NC02238,01,H
CheriBeasleyNC,2149128326,Democrat,NC,Senate Candidate,campaign,Cheri,"",Beasley,"",1,true,true,,F,S2NC00497,00,S
RettNewton,1376548024172867588,Democrat,NC,Senate Candidate,campaign,Rett,"",Newton,"",1,true,true,,M,S2NC00471,00,S
JeffJacksonNC,124820305,Democrat,NC,House Representative,campaign,Jeff,"",Jackson,"",1,true,true,,M,H2NC14076,14,H
Davenport4POTUS,1020010179792965632,Democrat,NC,Senate Candidate,campaign,Keith,"",Davenport,"",1,true,true,,M,S2NC00331,00,S
AvaEdwardsNC,1321087599767883777,Democrat,NC,Senate Candidate,campaign,Ava,"",Edwards,"",1,true,true,,F,S2NC00372,00,S
BoHines,523276626,Republican,NC,House Candidate,campaign,Bo,"",Hines,"",1,true,true,,M,H2NC05157,13,H
RiosVote,1382115484749983750,Republican,NC,House Candidate,campaign,Francisco,"",Rios,"",1,true,true,,M,H2NC12211,12,H
WendyforWNC,1379989334217080833,Republican,NC,House Candidate,campaign,Wendy,"",Nevarez,"",1,true,true,,F,H2NC11163,11,H
JBeachFerrara,953899742,Democrat,NC,House Candidate,campaign,Jasmine,"",Beach-Ferrara,"",1,true,true,,F,H2NC11155,11,H
JoshRemillardNC,1163215115153485825,Democrat,NC,House Candidate,campaign,Josh,"",Remillard,"",1,true,true,,M,H2NC11148,11,H
bohessforus,1357412788063338505,Democrat,NC,House Candidate,campaign,Bo,"",Hess,"",1,true,true,,M,H2NC11197,11,H
ram4congress,1219769269740867584,Democrat,NC,House Candidate,campaign,Ram,"",Mammadov,"",1,true,true,,M,H2NC09175,09,H
SteveMillerNC,1363948304845971459,Democrat,NC,House Candidate,campaign,Steve,"",Miller,"",1,true,true,,M,H2NC07104,07,H
JasonSpriggs4NC,1331005280876982274,Democrat,NC,House Candidate,campaign,Jason,"",Spriggs,"",1,true,true,,M,H2NC01222,01,H
MikeEzellMS,1377293395333246981,Republican,MS,House Candidate,campaign,Mike,"",Ezell,"",1,true,true,,M,H2MS04258,04,H
JeffKeuneke,1288841174,Republican,MS,House Candidate,campaign,Jeffrey,"",Keuneke,"",1,true,true,,M,H2MS02153,02,H
BGThompsonMS,1298346252673994752,Democrat,MS,House Candidate,campaign,Bennie,"",Thompson,"",1,true,true,,M,H4MS02068,02,H
Kilili4Congress,567654571,Other,MP,House Candidate,campaign,Kilili,"",Sablan,"",1,true,true,,M,H8MP00041,00,H
Schmitt4Senate,1374687650226053122,Republican,MO,Senate Candidate,campaign,Eric,"",Schmitt,"",1,true,true,,M,S2MO00544,00,S
JewelCommittee,1356261981666291716,Democrat,MO,Senate Candidate,campaign,Jewel,"",Kelly,"",1,true,true,,F,S2MO00494,00,S
LucasKunceMO,1349087733793382408,Democrat,MO,Senate Candidate,campaign,Lucas,"",Kunce,"",1,true,true,,M,S2MO00528,00,S
SpencerToder,1648499492,Democrat,MO,Senate Candidate,campaign,Spencer,"",Toder,"",1,true,true,,M,S2MO00551,00,S
nicoloff_josh,1357796231158894593,Democrat,MO,House Candidate,campaign,Josh,"",Nicoloff,"",1,true,true,,M,H2MO03142,03,H
EarlChildress,468552413,Democrat,MO,House Candidate,campaign,Earl,"",Childress,"",1,true,true,,M,H2MO01161,01,H
TravisBullJohn1,1352263628771225601,Other,MN,House Candidate,campaign,Bull,"",Johnson,"",1,true,true,,M,H2MN07113,07,H
Ernest4MN,1362088874504241153,Democrat,MN,House Candidate,campaign,Ernest,"",Peltier,"",1,true,true,,M,H2MN07105,07,H
LilyEricksonMN,1326203308764246016,Democrat,MN,House Candidate,campaign,Lily,"",Erickson,"",1,true,true,,F,H2MN03096,03,H
LoganWajer,3466112845,Other,MN,House Candidate,campaign,Logan,"",Wajer,"",1,true,true,,M,H2MN01157,01,H
